Date,new Deaths,new Recovery,new Confirmed,total Deaths,total Recovery,total Confirmed
03/01/2020,0.0,3.0,3.0,0.0,3.0,3.0
03/02/2020,0.0,3.0,5.0,0.0,6.0,8.0
03/03/2020,0.0,3.0,5.0,0.0,9.0,13.0
03/04/2020,0.0,3.0,28.0,0.0,12.0,41.0
03/05/2020,0.0,3.0,30.0,0.0,15.0,71.0
03/06/2020,0.0,3.0,31.0,0.0,18.0,102.0
03/07/2020,0.0,3.0,34.0,0.0,21.0,136.0
03/08/2020,0.0,3.0,39.0,0.0,24.0,175.0
03/09/2020,0.0,3.0,43.0,0.0,27.0,218.0
03/10/2020,0.0,4.0,56.0,0.0,31.0,274.0
03/11/2020,1.0,4.0,62.0,1.0,35.0,336.0
03/12/2020,1.0,4.0,73.0,2.0,39.0,409.0
03/13/2020,2.0,4.0,82.0,4.0,43.0,491.0
03/14/2020,2.0,4.0,102.0,6.0,47.0,593.0
03/15/2020,2.0,13.0,113.0,8.0,60.0,706.0
03/16/2020,2.0,13.0,119.0,10.0,73.0,825.0
03/17/2020,3.0,14.0,142.0,13.0,87.0,967.0
03/18/2020,3.0,14.0,156.0,16.0,101.0,1123.0
03/19/2020,4.0,15.0,194.0,20.0,116.0,1317.0
03/20/2020,5.0,20.0,244.0,25.0,136.0,1561.0
03/21/2020,4.0,23.0,330.0,29.0,159.0,1891.0
03/22/2020,7.0,24.0,396.0,36.0,183.0,2287.0
03/23/2020,10.0,34.0,499.0,46.0,217.0,2786.0
03/24/2020,10.0,40.0,536.0,56.0,257.0,3322.0
03/25/2020,12.0,43.0,657.0,68.0,300.0,3979.0
03/26/2020,20.0,45.0,727.0,88.0,345.0,4706.0
03/27/2020,20.0,73.0,887.0,108.0,418.0,5593.0
03/28/2020,24.0,84.0,987.0,132.0,502.0,6580.0
03/29/2020,27.0,95.0,1024.0,159.0,597.0,7604.0
03/30/2020,32.0,102.0,1251.0,191.0,699.0,8855.0
03/31/2020,35.0,123.0,1397.0,226.0,822.0,10252.0
04/01/2020,58.0,148.0,1998.0,284.0,970.0,12250.0
04/02/2020,72.0,191.0,2543.0,356.0,1161.0,14793.0
04/03/2020,72.0,192.0,2567.0,428.0,1353.0,17360.0
04/04/2020,86.0,229.0,3082.0,514.0,1582.0,20442.0
04/05/2020,99.0,229.0,3588.0,613.0,1811.0,24030.0
04/06/2020,136.0,375.0,4778.0,749.0,2186.0,28808.0
04/07/2020,150.0,421.0,5311.0,899.0,2607.0,34119.0
04/08/2020,178.0,506.0,5916.0,1077.0,3113.0,40035.0
04/09/2020,226.0,620.0,6725.0,1303.0,3733.0,46760.0
04/10/2020,246.0,774.0,7598.0,1549.0,4507.0,54358.0
04/11/2020,288.0,969.0,8446.0,1837.0,5476.0,62804.0
04/12/2020,331.0,1080.0,9205.0,2168.0,6556.0,72009.0
04/13/2020,358.0,1181.0,10453.0,2526.0,7737.0,82462.0
04/14/2020,393.0,1359.0,11487.0,2919.0,9096.0,93949.0
04/15/2020,405.0,1432.0,12322.0,3324.0,10528.0,106271.0
04/16/2020,448.0,1768.0,13430.0,3772.0,12296.0,119701.0
04/17/2020,486.0,2041.0,14352.0,4258.0,14337.0,134053.0
04/18/2020,521.0,2463.0,15722.0,4779.0,16800.0,149775.0
04/19/2020,559.0,2854.0,17615.0,5338.0,19654.0,167390.0
04/20/2020,592.0,3273.0,18539.0,5930.0,22927.0,185929.0
04/21/2020,645.0,3975.0,20080.0,6575.0,26902.0,206009.0
04/22/2020,681.0,4370.0,21370.0,7256.0,31272.0,227379.0
04/23/2020,721.0,5012.0,23077.0,7977.0,36284.0,250456.0
04/24/2020,780.0,5498.0,24530.0,8757.0,41782.0,274986.0
04/25/2020,825.0,5939.0,26283.0,9582.0,47721.0,301269.0
04/26/2020,881.0,6523.0,27890.0,10463.0,54244.0,329159.0
04/27/2020,939.0,7137.0,29451.0,11402.0,61381.0,358610.0
04/28/2020,1008.0,7747.0,31324.0,12410.0,69128.0,389934.0
04/29/2020,1079.0,8437.0,33062.0,13489.0,77565.0,422996.0
04/30/2020,1154.0,9068.0,34863.0,14643.0,86633.0,457859.0
